pixels,widths,hights
8085,77,105
17446,122,143
11016,81,136
7290,81,90
7268,79,92
8268,78,106
17732,124,143
11760,84,140
8190,78,105
19388,131,148
13923,91,153
8346,78,107
20808,136,153
15520,97,160
21700,140,155
22451,143,157
24624,152,162
22922,146,157
24160,151,160
23079,147,157
24633,153,161
23542,149,158
24633,153,161
24009,151,159
25110,155,162
25110,155,162
7120,80,89
7176,78,92
25428,156,163
25591,157,163
25584,156,164
26235,159,165
25896,156,166
26070,158,165
26219,157,167
25912,158,164
26702,158,169
25272,156,162
27348,159,172
21016,142,148
27161,157,173
19035,135,141
27161,157,173
18626,134,139
27144,156,174
18765,135,139
27456,156,176
19180,137,140
7040,80,88
7254,78,93
6887,71,97
27612,156,177
22950,150,153
7110,90,79
7110,90,79
19278,153,126
14950,115,130
6952,79,88
7332,78,94
5950,70,85
18358,134,137
18221,133,137
17685,131,135
19182,138,139
18900,140,135
20440,146,140
18612,141,132
19019,143,133
18590,143,130
6873,79,87
6900,75,92
19551,147,133
19110,147,130
19781,151,131
20328,154,132
19737,153,129
21280,160,133
22005,163,135
22440,165,136
23153,169,137
23290,170,137
6952,79,88
6734,74,91
24012,174,138
17375,125,139
24640,176,140
18304,128,143
24640,176,140
18576,129,144
25098,178,141
18576,129,144
24603,177,139
18304,128,143
24780,177,140
18447,129,143
25740,180,143
18850,130,145
23838,174,137
18850,130,145
24150,175,138
18304,128,143
23701,173,137
17640,126,140
6952,79,88
6570,73,90
23392,172,136
17112,124,138
23355,173,135
17262,126,137
6952,79,88
6319,71,89
6952,79,88
6390,71,90
7120,80,89
6696,72,93
7120,80,89
6840,72,95
7209,81,89
6816,71,96
7040,80,88
6984,72,97
6461,71,91
7040,80,88
6486,69,94
7209,81,89
6417,69,93
7209,81,89
6417,69,93
7209,81,89
6417,69,93
7209,81,89
6417,69,93
7209,81,89
6486,69,94
12240,90,136
7371,81,91
6486,69,94
13020,93,140
7544,82,92
6486,69,94
12834,93,138
7719,83,93
6745,71,95
10625,85,125
7719,83,93
6696,72,93
23322,138,169
6552,72,91
7719,83,93
6789,73,93
21252,132,161
7626,82,93
6696,72,93
7802,83,94
6789,73,93
7626,82,93
6624,72,92
7614,81,94
6440,70,92
7614,81,94
6532,71,92
7614,81,94
6370,70,91
7614,81,94
6461,71,91
7440,80,93
6696,72,93
7372,97,76
7347,79,93
6768,72,94
7275,97,75
6570,73,90
7347,79,93
6840,72,95
7448,98,76
7347,79,93
6603,71,93
7623,99,77
7347,79,93
6532,71,92
7700,100,77
7254,78,93
6370,70,91
7800,100,78
7084,77,92
6279,69,91
7800,100,78
7161,77,93
6279,69,91
7722,99,78
7254,78,93
6279,69,91
7546,98,77
7254,78,93
6348,69,92
7722,99,78
7254,78,93
6510,70,93
7644,98,78
7176,78,92
6674,71,94
7644,98,78
6497,73,89
7254,78,93
6674,71,94
7161,77,93
6745,71,95
7084,77,92
6745,71,95
7161,77,93
6745,71,95
6992,76,92
6580,70,94
6992,76,92
6650,70,95
6992,76,92
6650,70,95
7161,77,93
6650,70,95
7161,77,93
6256,68,92
7161,77,93
6580,70,94
6643,73,91
7084,77,92
6650,70,95
6992,76,92
6992,76,92
6992,76,92
6750,75,90
6586,74,89
6497,73,89
6424,73,88
6497,73,89
6408,72,89
6762,69,98
6643,73,91
5808,66,88
6336,72,88
6188,68,91
6424,73,88
6120,68,90
12543,113,111
6424,73,88
6188,68,91
13110,115,114
6840,76,90
6188,68,91
6916,76,91
6030,67,90
13110,115,114
6030,67,90
6364,74,86
6480,72,90
4900,70,70
6290,74,85
6290,74,85
6460,76,85
6460,76,85
6536,76,86
6708,78,86
6708,78,86
6630,78,85
7209,81,89
7462,82,91
11508,84,137
5368,88,61
7462,82,91
11508,84,137
7462,82,91
7544,82,92
7544,82,92
7452,81,92
7626,82,93
7440,80,93
7533,81,93
7440,80,93
7176,78,92
7426,79,94
7347,79,93
11815,85,139
7254,78,93
12040,86,140
7238,77,94
7238,77,94
7161,77,93
6750,75,90
6992,76,92
7161,77,93
7161,77,93
7068,76,93
7238,77,94
7238,77,94
7144,76,94
7315,77,95
7068,76,93
7068,76,93
7161,77,93
7161,77,93
7161,77,93
7676,76,101
7161,77,93
7777,77,101
11544,111,104
7315,77,95
7676,76,101
7676,76,101
7854,77,102
7931,77,103
8112,78,104
8295,79,105
6935,73,95
8085,77,105
8085,77,105
